iter	RMSE
0	0.2949162105
1	0.2879159896
2	0.2811216073
3	0.274650464
4	0.2682475981
5	0.2620475643
6	0.2561532489
7	0.2503531731
8	0.2447541459
9	0.2392444434
10	0.2339860891
11	0.2288247381
12	0.2238369767
13	0.2190402158
14	0.2144602688
15	0.2099319417
16	0.2055955801
17	0.2014314347
18	0.1973786221
19	0.1934823677
20	0.1896458619
21	0.1860060141
22	0.1824210032
23	0.178961393
24	0.1756467723
25	0.172367946
26	0.1692054519
27	0.1661224593
28	0.1631437743
29	0.1603012085
30	0.1575387371
31	0.1548562317
32	0.1522519515
33	0.149813042
34	0.1474676783
35	0.1451421882
36	0.1429244841
37	0.1407570611
38	0.1386593088
39	0.1366252725
40	0.1346984482
41	0.1327616369
42	0.1309088801
43	0.1290995746
44	0.1273903697
45	0.1257822358
46	0.1242165931
47	0.1226204609
48	0.1210681611
49	0.1196668351
50	0.1182427671
51	0.1168961308
52	0.1155558291
53	0.1142980015
54	0.1130919694
55	0.1118938199
56	0.1107612439
57	0.1096043908
58	0.1085437402
59	0.107524982
60	0.1065504579
61	0.1055969451
62	0.1046170399
63	0.1037769928
64	0.1029031822
65	0.1020800862
66	0.1012582752
67	0.1004950619
68	0.09968164384
69	0.09893167992
70	0.09825606005
71	0.09748976387
72	0.09671525375
73	0.09599176845
74	0.0953505688
75	0.09469762955
76	0.09405166998
77	0.09341066003
78	0.09284963355
79	0.09226927274
80	0.09176272207
81	0.0912130119
82	0.090655855
83	0.09015820476
84	0.0895519495
85	0.08907981706
86	0.08864342847
87	0.08815522111
88	0.08772235257
89	0.08729829539
90	0.08689848623
91	0.08651985483
92	0.08605567108
93	0.08563676838
94	0.0852796584
95	0.08486550223
96	0.08444620995
97	0.08403586764
98	0.08370244346
99	0.08335790983
100	0.0829683348
101	0.08263656041
102	0.08233766393
103	0.08203457885
104	0.08174468937
105	0.08145836512
106	0.08117172619
107	0.08089980393
108	0.0806285221
109	0.08039010227
110	0.08012051217
111	0.07978935068
112	0.07947766232
113	0.07924429174
114	0.07898720502
115	0.07870314219
116	0.07846838521
117	0.0782350128
118	0.07802067806
119	0.07780606377
120	0.07759569028
121	0.07740488024
122	0.07723674162
123	0.07705411323
124	0.07688696259
125	0.07670178645
126	0.07651175276
127	0.076349647
128	0.07614938773
129	0.07593717486
130	0.07574680573
131	0.0755263257
132	0.07532233304
133	0.07517605371
134	0.07495519542
135	0.07478916449
136	0.07464426038
137	0.07451234259
138	0.07438461337
139	0.07426452688
140	0.0741186237
141	0.07398709636
142	0.07387797532
143	0.07374959249
144	0.07363219551
145	0.07348449294
146	0.07336579912
147	0.07320366964
148	0.07307528366
149	0.07296596931
150	0.07284776999
151	0.07271191954
152	0.07257600856
153	0.07245675988
154	0.0723646301
155	0.07226713747
156	0.07211328474
157	0.0720073794
158	0.07191946807
159	0.07181743913
160	0.07173608134
161	0.07162862118
162	0.07150457621
163	0.0714117775
164	0.07128449231
165	0.0711674886
166	0.071049317
167	0.0709395895
168	0.07084790065
169	0.07072578283
170	0.07059585142
171	0.07049664866
172	0.07041326655
173	0.07032020353
174	0.07020780324
175	0.07010959484
176	0.06999918393
177	0.06990249406
178	0.0697734228
179	0.06969533973
180	0.06962152013
181	0.06951954544
182	0.06943744623
183	0.06935630306
184	0.06926437847
185	0.06913457529
186	0.06902482464
187	0.0689079141
188	0.06884159541
189	0.06874220539
190	0.0686560081
191	0.06855607209
192	0.06849122585
193	0.06840045673
194	0.06831980382
195	0.06824392145
196	0.06814871145
197	0.06806330339
198	0.06796897263
199	0.06789465791
200	0.0678244096
201	0.0677634242
202	0.06771012878
203	0.06764205785
204	0.06756324966
205	0.06746149131
206	0.06737792277
207	0.06730344374
208	0.06720354349
209	0.06709477217
210	0.06701496023
211	0.06693587037
212	0.06685907658
213	0.06679327606
214	0.06668837596
215	0.06661978821
216	0.06657394187
217	0.06649635709
218	0.06641596176
219	0.06634026034
220	0.06626144623
221	0.06620972093
222	0.06613758056
223	0.06607082781
224	0.06597173172
225	0.06588112219
226	0.06579130647
227	0.06574621486
228	0.06567108732
229	0.06561354203
230	0.06550777149
231	0.06544523148
232	0.0653773436
233	0.06529696049
234	0.06521145353
235	0.06514933479
236	0.06507017001
237	0.06500984268
238	0.06496257533
239	0.06488712929
240	0.06481576427
241	0.06473826308
242	0.06465112917
243	0.06458289867
244	0.06450940139
245	0.06445708238
246	0.06439644919
247	0.06434516797
248	0.06426962159
249	0.06420209149
250	0.06411741158
251	0.06406082317
252	0.06400356882
253	0.06393876778
254	0.0639005803
255	0.06383380965
256	0.06377889877
257	0.06372764387
258	0.06368163453
259	0.06360848758
260	0.06355889347
261	0.06349942725
262	0.06344117978
263	0.06336625352
264	0.0633152875
265	0.0632545499
266	0.06319271276
267	0.06310778162
268	0.06304303772
269	0.06299229037
270	0.06296119213
271	0.06290111041
272	0.06284406895
273	0.06280637302
274	0.06274647493
275	0.06268070993
276	0.06263218157
277	0.06258146893
278	0.06250903929
279	0.06247344758
280	0.06241542305
281	0.06237334704
282	0.06231948367
283	0.0622878414
284	0.06223317084
285	0.06216275547
286	0.06209822104
287	0.06204185273
288	0.06200238445
